		
item	legality	note
enzyme treated milk	illegal	"except as noted in book, ch 9"
ethanol	legal	"aka: alcohol -the kind in gin, etc."
ethanol	legal	found in supplements
evaporated cane juice	illegal	aka: sugar
ezekiel bread	illegal	sprouted grain breads are illegal
faba (fava) beans	illegal	"aka: broad bean, fava, horse bean, field bean, tic, Windsor, English, fool, foul, ful, feve, haba, habas and butter bean. See note on lima beans for additional confusion."
fenugreek	illegal	
feta cheese	illegal	
figs	legal	can be difficult to digest & laxative
filberts aka: hazelnuts	legal	mixes not allowed
fish	legal	Fresh and frozen. Check the labels carefully for additives.
flax seed	illegal	
flax seed oil	legal	in small amounts
flour	illegal	
fluid milk of any kind	illegal	but can be used in making yoghurt
food glaze	illegal	found in supplements
FOS (fructooligosaccharides)	illegal	found in supplements
fowl	legal	"all types including turkey, chicken, duck, goose, pheasant, pigeon, etc. Fresh and frozen. Check the labels carefully for additives."
frozen concentrated orange juice	illegal	concentrating makes it illegal
fructooligosaccharides (FOS)	illegal	see SCD book
fructose (granulated or liquid)	illegal	"although a monosaccharide, they are often packaged with other sugars that aren't on the label"
"fruits, canned "	illegal/legal	 only if own juice
garbanzo beans	illegal	"aka: chickpea, ceci bean, bengal gram, hummus, chana, channa"
garfava flour	illegal	made from garbanzo and fava (faba) beans
garlic	legal	fresh - powders have starches
garlic powder	illegal	starch base - make home made
gelatin (unflavored)	legal	
ghee	legal	aka: clarified butter
gin	legal	occasionally
ginger	legal	
gjetost cheese	illegal	
glucose	illegal	"although a monosaccharide, they are often packaged with other sugars that aren't on the label"
glucose candy	illegal	
glycerin	legal	"widely used additive for food, cosmetics, etc."
glycerol	legal	"widely used additive for food, cosmetics, etc."
goatein	illegal	a protein powder
gorgonzola cheese	legal	occasionally - not shredded / grated
gouda cheese	legal	occasionally - not shredded / grated
"grape juice, white or dark"	legal	not frozen. Welch's purple and white best.
grapefruit	legal	fresh
grapefruit juice	legal	fresh only
grapefruit juice	legal	Frozen or canned not allowed. Dilute to drink.
grapes	legal	
grapeseed oil	legal	
great northern bean	illegal	"aka: cannellini, white kidney, fazolia"
green bean	legal	aka: string bean
gruyere cheese	legal	freely - not shredded / grated
guar gum	illegal	
gums	illegal	all gums are illegal
ham	illegal/legal	only if cured with salt and legal sweeteners. Check label or get custom smoked.
hard liquor	legal	occasionally
"hard liquors: gin, rye, scotch, bourbon, vodka, etc."	legal	occasionally
haricot beans	legal	"aka: navy bean, white"
havarti cheese	legal	freely - not shredded / grated
hazelnuts (filberts)	legal	
"hemp seed, hemp protein powder"	illegal	
HN-Zyme	legal	
honey	legal	"preferably clear, commercial or local. Avoid cloudy as contains pollen."
horseradish sauce	legal	if home made or trusted bought
"hot dogs, commercial"	illegal	unless home made
hydrolyzed protein aka: MSG	illegal	
ice cream	illegal	
inositol	illegal	only small amount in supplements are okay
instant soup mixes / bases	illegal	
inulin	illegal	Inulin is a FOS
iron supplements	illegal	
isoglucose	illegal	
jaggery aka: gur	illegal	an unrefined sugar
jalapenos	legal	
